creative_id,headline,body_copy,hook_type,tone,hook_reason,tone_reason
T3-054,Glossier You Duo,Smells different on everyone and that's totally the point! Spritz on the iconic scent in full + travel size.,benefit_promise,playful,Smells different on everyone and that's totally the point,"Conversational, irreverent tone; 'totally the point' signals lightness"
T3-055,In a New York Minute Set,"In a New York Minute Set is for every busy city girl. Cheeks, lips, brows, done.",benefit_promise,playful,"Opens with desirable end state: quick, complete makeup application","Conversational, irreverent 'city girl' persona; energetic, light register"
T3-056,Save big when you buy 5 balms!,Our Limited Edition Balm Quintet is here! Treat yourself to five balms for $64 with a free gift!,offer_led,playful,Save big when you buy 5 balms!,"Conversational, exclamatory, 'treat yourself' language"
T3-057,Save big when you buy 5 balms!,Our Limited Edition Balm Quintet is here! Treat yourself to five balms for $64 with a free gift!,offer_led,playful,Save big when you buy 5 balms!,"Conversational, exclamatory, 'treat yourself' language"
T3-058,Save big when you buy 5 balms!,Our Limited Edition Balm Quintet is here! Treat yourself to five balms for $64 with a free gift!,offer_led,playful,Save big when you buy 5 balms!,"Conversational, exclamatory, 'treat yourself' language"
T3-059,Save big when you buy 5 balms!,Our Limited Edition Balm Quintet is here! Treat yourself to five balms for $64 with a free gift!,offer_led,playful,Save big when you buy 5 balms!,"Conversational, exclamatory, 'treat yourself' language"
T3-060,Save big when you buy 5 balms!,Our Limited Edition Balm Quintet is here! Treat yourself to five balms for $64 with a free gift!,offer_led,playful,Save big when you buy 5 balms!,"Conversational, exclamatory, 'treat yourself' language"
T3-061,La Roche Posay Lipikar Wash AP+ Moisturizing Body & Face Wash | Size 400 ml,Free Shipping on Orders $45+ When You Become a Member Today!,offer_led,minimal_matter_of_fact,Free Shipping on Orders $45+ When You Become a Member,"States product name, size, and offer without persuasion styling"
T3-062,La Roche Posay Dry Skin Routine Facial Cleanser Set,Free Shipping on Orders $45+ When You Become a Member Today!,offer_led,minimal_matter_of_fact,Free Shipping on Orders $45+ When You Become a Member,States product and offer plainly without persuasion styling
T3-063,La Roche Posay B3 Pure Retinol Serum,Build Your Perfect Skincare Routine with Our Best Sellers 💙,benefit_promise,aspirational,Build Your Perfect Skincare Routine with Our Best Sellers,Idealized self through 'perfect routine' and aspirational framing
T3-064,La Roche-Posay Anthelios UV Air  SPF 50,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants with an invisible finish. Now you’ll never skip a day.,ingredient_led,aspirational,Anthelios UVAir™ with antioxidants; serum sunscreen formulation,"Light as air, invisible finish, never skip a day—idealized routine"
T3-065,La Roche-Posay Anthelios UV Air  SPF 50,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants with an invisible finish. Now you’ll never skip a day.,ingredient_led,aspirational,Anthelios UVAir™ with antioxidants; serum sunscreen formulation,"Light as air, invisible finish, never skip a day—idealized routine"
T3-076,,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants with an invisible finish. Now you’ll never skip a day.,ingredient_led,aspirational,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants,"Invisible finish, never skip a day—confidence and ideal routine."
T3-077,,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants with an invisible finish. Now you’ll never skip a day.,ingredient_led,aspirational,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants,"Invisible finish, never skip a day—confidence and ideal routine."
T3-078,,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants with an invisible finish. Now you’ll never skip a day.,ingredient_led,aspirational,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants,"Invisible finish, never skip a day—confidence and ideal routine."
T3-080,La Roche-Posay Anthelios UV Air  SPF 50,Anthelios UVAir™. Light as air serum sunscreen supercharged with antioxidants with an invisible finish. Now you’ll never skip a day.,ingredient_led,aspirational,Anthelios UVAir™ with antioxidants; serum sunscreen formulation,"Light as air, invisible finish, never skip a day—idealized routine"
T3-085,,"#AD | When I heard @walgreens had the @neutrogena Fill Your Own Beauty Bag display up and ready, I had to make a stop. 🛍️✨

Right now, when you buy 2  products, get 1 free and a beauty bag! I had so much fun picking out my favorites and building my own skincare haul.

I grabbed some of my nighttime favs 

✨Makeup Remover Ultra-Soft Micellar Cleansing Wipes, 25 Count, Pack of 2

✨Hydro Boost Night Pressed Serum with Hyaluronic Acid 1.7 Oz

✨Neutrogena Stubborn Acne Ultra-Thin Blemish Patches, Combination Pack, 24 Patches

Have you spotted the display at your local Walgreens yet?

Stop by and fill up your own beauty bag at Walgreens 

#NeutrogenaSpring",offer_led,playful,Opens with buy 2 get 1 free promotion and beauty bag,"Emoji-forward, conversational, enthusiastic about shopping experience"
T3-086,,"#AD 

The secret to that fresh, juicy-skin look? Hydration, hydration, hydration and there’s no better fit for this than @neutrogena Hydro Boost Water Gel.💦💙

#NeutrogenaSpring #ad",benefit_promise,playful,"Opens with desirable end state: 'fresh, juicy-skin look'","Light, conversational; emoji-forward; repetition for emphasis"
T3-087,,"#AD | When I heard @walgreens had the @neutrogena Fill Your Own Beauty Bag display up and ready, I had to make a stop. 🛍️✨

Right now, when you buy 2  products, get 1 free and a beauty bag! I had so much fun picking out my favorites and building my own skincare haul.

I grabbed some of my nighttime favs 

✨Makeup Remover Ultra-Soft Micellar Cleansing Wipes, 25 Count, Pack of 2

✨Hydro Boost Night Pressed Serum with Hyaluronic Acid 1.7 Oz

✨Neutrogena Stubborn Acne Ultra-Thin Blemish Patches, Combination Pack, 24 Patches

Have you spotted the display at your local Walgreens yet?

Stop by and fill up your own beauty bag at Walgreens 

#NeutrogenaSpring",offer_led,playful,Opens with buy 2 get 1 free promotion and beauty bag,"Emoji-forward, conversational, enthusiastic about shopping experience"
T3-088,,"#AD 

The secret to that fresh, juicy-skin look? Hydration, hydration, hydration and there’s no better fit for this than @neutrogena Hydro Boost Water Gel.💦💙

#NeutrogenaSpring #ad",benefit_promise,playful,"Opens with desirable end state: 'fresh, juicy-skin look'","Light, conversational; emoji-forward; repetition for emphasis and charm"
T3-089,,"#NeutrogenaPartner Just me, Chicago, and my @neutrogena Ultra Sheer Invisible Gel Face Sunscreen SPF 40 that comes everywhere with me!",social_proof,playful,"Just me, Chicago, and my @neutrogena Ultra Sheer","Conversational, personal, casual first-person narrative with emoji-forward energy"
T3-090,,"#NeutrogenaPartner Just me, Chicago, and my @neutrogena Ultra Sheer Invisible Gel Face Sunscreen SPF 40 that comes everywhere with me!",social_proof,playful,"Just me, Chicago, and my @neutrogena Ultra Sheer","Conversational, personal, casual first-person narrative with emoji-forward energy"
T3-091,,#NeutrogenaPartner My Lollapalooza skin hack 👀 And @neutrogena has me covered all weekend! ☀️🧴,social_proof,playful,#NeutrogenaPartner My Lollapalooza skin hack,"Emoji-forward, conversational, irreverent festival context"
T3-092,,"#neutrogenapartner music festivals are scary on the skin, but @neutrogena has us covered:

- Hydro Boost Water Gel for deep hydration that doesn’t clog pores 
- Ultra Sheer Invisible Gel Face Sunscreen for lightweight, invisible sun protection you can actually trust to last through the sweat 

must haves for any sunny, sweaty occasion 😎 

#sunprotection #sunscreen #moisturizer #lollapalooza",problem_solution,playful,"music festivals are scary on the skin, but @neutrogena has us covered","conversational, emoji-forward, light irreverent register throughout"
T3-093,,#NeutrogenaPartner My Lollapalooza skin hack 👀 And @neutrogena has me covered all weekend! ☀️🧴,social_proof,playful,#NeutrogenaPartner My Lollapalooza skin hack,"Emoji-forward, conversational, irreverent festival context"
T3-094,,#NeutrogenaPartner My Lollapalooza skin hack 👀 And @neutrogena has me covered all weekend! ☀️🧴,social_proof,playful,#NeutrogenaPartner My Lollapalooza skin hack,"Emoji-forward, conversational, irreverent festival context"
T3-095,,#NeutrogenaPartner My Lollapalooza skin hack 👀 And @neutrogena has me covered all weekend! ☀️🧴,social_proof,playful,#NeutrogenaPartner My Lollapalooza skin hack,"Emoji-forward, conversational, irreverent festival context"
T3-096,,#NeutrogenaPartner getting my skin ready with @neutrogena and officially adding this duo to my festival essentials!,social_proof,playful,#NeutrogenaPartner getting my skin ready with @neutrogena,"Conversational, hashtag-forward, casual festival context, influencer voice"
T3-097,,#NeutrogenaPartner getting my skin ready with @neutrogena and officially adding this duo to my festival essentials!,social_proof,playful,#NeutrogenaPartner getting my skin ready with @neutrogena,"Conversational, hashtag-forward, casual festival context, influencer voice"
T3-098,,#NeutrogenaPartner getting my skin ready with @neutrogena and officially adding this duo to my festival essentials!,social_proof,playful,#NeutrogenaPartner getting my skin ready with @neutrogena,"Conversational, hashtag-forward, casual festival context, influencer voice"
T3-099,,"#NeutrogenaPartner Just me, Chicago, and my @neutrogena Ultra Sheer Invisible Gel Face Sunscreen SPF 40 that comes everywhere with me!",social_proof,playful,"Just me, Chicago, and my @neutrogena Ultra Sheer","Conversational, personal, casual first-person narrative with emoji"
T3-100,,"#NeutrogenaPartner Just me, Chicago, and my @neutrogena Ultra Sheer Invisible Gel Face Sunscreen SPF 40 that comes everywhere with me!",social_proof,playful,"Just me, Chicago, and my @neutrogena Ultra Sheer","Conversational, personal, casual first-person narrative with emoji-forward energy"
T3-101,,"Exfoliation is non-negotiable. This iconic 2% BHA liquid exfoliating toner clears pores, smooths texture, and keeps breakouts under control.",ingredient_led,minimal_matter_of_fact,Opens with '2% BHA' as the key formulation,States what it is and what it does plainly
T3-103,,"Exfoliation is non-negotiable. This iconic 2% BHA liquid exfoliating toner clears pores, smooths texture, and keeps breakouts under control.",ingredient_led,minimal_matter_of_fact,Opens with '2% BHA' as the key formulation,States what it is and what it does plainly
T3-104,,"Sensitive skin requires extra care, especially with exfoliation. This 1% BHA gel toner delivers smoother texture and clearer pores without irritation.",problem_solution,warm_reassuring,"Sensitive skin requires extra care, especially with exfoliation","Gentle acknowledgment of skin concern; supportive, non-judgmental framing"
T3-105,Claim Your Exclusive Offer,"5 high-impact formulas. 1 exclusive price. Try Paula's Choice for just $60! Travel sizes, full results.",offer_led,urgent,Claim Your Exclusive Offer — leads with commercial offer,"Exclusive, limited pricing creates pressure and immediacy"
T3-106,,"When routines need to stay simple, this step delivers. Clearer pores, fewer breakouts, and smoother-looking skin.",benefit_promise,minimal_matter_of_fact,"Opens with desirable outcomes: clearer pores, fewer breakouts, smoother skin","Plain, direct statement of what product does without embellishment"
T3-107,Claim Your Exclusive Offer,"5 high-impact formulas. 1 exclusive price. Try Paula's Choice for just $60! Travel sizes, full results.",offer_led,urgent,Claim Your Exclusive Offer — leads with commercial offer,"Exclusive, limited pricing creates pressure and immediacy"
T3-108,Shop Paula's Choice Now For Up To 30% Off!,Enjoy up to 30% off your favorites at Paula's Choice. Shop now for skincare that keeps its promises.,offer_led,minimal_matter_of_fact,Shop Paula's Choice Now For Up To 30% Off!,"Direct, straightforward commercial language without embellishment."
T3-109,Shop Paula's Choice Now For Up To 30% Off!,Enjoy up to 30% off your favorites at Paula's Choice. Shop now for skincare that keeps its promises.,offer_led,minimal_matter_of_fact,Shop Paula's Choice Now For Up To 30% Off!,"Direct, straightforward commercial language without embellishment."
T3-110,Shop Paula's Choice Now For Up To 30% Off!,Enjoy up to 30% off your favorites at Paula's Choice. Shop now for skincare that keeps its promises.,offer_led,minimal_matter_of_fact,Shop Paula's Choice Now For Up To 30% Off!,"Direct, straightforward commercial language without embellishment."
T3-111,Shop Paula's Choice Now For Up To 30% Off!,Enjoy up to 30% off your favorites at Paula's Choice. Shop now for skincare that keeps its promises.,offer_led,minimal_matter_of_fact,Shop Paula's Choice Now For Up To 30% Off!,"Direct, straightforward commercial language without embellishment."
T3-112,Unlock Your Glow,Get a FREE full-size 25% Vitamin C Serum on any order $100+. Consider it our gift to you. Happy shopping!,offer_led,warm_reassuring,FREE full-size 25% Vitamin C Serum on any order $100+,"Gift framing, friendly 'Happy shopping!' closing, supportive register"
T3-113,Unlock Your Glow,Get a FREE full-size 25% Vitamin C Serum on any order $100+. Consider it our gift to you. Happy shopping!,offer_led,warm_reassuring,FREE full-size 25% Vitamin C Serum on any order $100+,"Gift framing, friendly 'Happy shopping!' closing, supportive register"
T3-114,Unlock Your Glow,Get a FREE full-size 25% Vitamin C Serum on any order $100+. Consider it our gift to you. Happy shopping!,offer_led,warm_reassuring,FREE full-size 25% Vitamin C Serum on any order $100+,"Gift framing, friendly 'Happy shopping!' closing, supportive register"
T3-117,A Little Welcome Gift,First Order Perks Unlocked: 20% off + Free Shipping ✨,offer_led,playful,First Order Perks Unlocked: 20% off + Free Shipping,"Warm, celebratory language with emoji; friendly, welcoming register"
T3-118,,"Options are good, but great skin starts with expert guidance. ✨

Find the skincare treatment for your unique skin above, and as always let us know if we can help point you in the right direction. ☝️",authority_expert,warm_reassuring,great skin starts with expert guidance,"supportive, helpful, collaborative tone throughout"
T3-120,A Little Welcome Gift,First Order Perks Unlocked: 20% off + Free Shipping ✨,offer_led,playful,First Order Perks Unlocked: 20% off + Free Shipping,"Warm, celebratory language with emoji; gift framing feels friendly"
T3-121,,#TheOrdinaryPartner the new @theordinary Caffeine 3% and Escin 1% Serum has been a lifesaver for my skin during the end of the school year! ☕️ #IHCxTHEORDINARY #Ad,social_proof,playful,#TheOrdinaryPartner the new @theordinary Caffeine 3% and Escin 1%,"Casual hashtags, emoji, conversational 'lifesaver' language, relatable school year context"
T3-122,,#TheOrdinaryPartner the new @theordinary Caffeine 3% and Escin 1% Serum has been a lifesaver for my skin during the end of the school year! ☕️ #IHCxTHEORDINARY #Ad,social_proof,playful,#TheOrdinaryPartner the new @theordinary Caffeine 3% and Escin 1%,"Casual hashtags, emoji, conversational 'lifesaver' language, relatable school year context"
T3-123,,this WILL be your new caffeine addiction ☕,benefit_promise,playful,Opens with desirable end state: becoming addicted to product,"Light, humorous tone with emoji and casual 'addiction' language"
T3-124,,this WILL be your new caffeine addiction ☕,benefit_promise,playful,Opens with desirable end state: becoming addicted to product,"Light, humorous tone with emoji and casual 'addiction' language"
T3-125,,"Put these rounds on repeat ⚪📢

Made for everyday use. Upgrade your skincare routine at home, or on the go with these reusable rounds. 

From July 7th - 31st,  receive a complimentary set of The O. Reusable Rounds with every purchase of Glycolic Acid 7% Exfoliating Toner *(either size, while stocks last).

—
Only at theordinary.com or in-store from July 7-31, 2026, while supplies last. One free The Ordinary Reusable Rounds with a purchase of Glycolic Acid (100ml or 240ml). One Gift per order and two per customer. For online purchases, customers must select the Gift option in order to receive the Gift. Not applicable outside the promotion period. Valid with other offers. DECIEM reserves the right to amend/cancel this offer at any time. Full Terms and Conditions apply, see https://theordinary.com/promotional-offer-terms.html.",offer_led,playful,Put these rounds on repeat ⚪📢 + complimentary set offer,"Conversational, emoji-forward, light register throughout"
T3-126,,"Put these rounds on repeat ⚪📢

Made for everyday use. Upgrade your skincare routine at home, or on the go with these reusable rounds. 

From July 7th - 31st,  receive a complimentary set of The O. Reusable Rounds with every purchase of Glycolic Acid 7% Exfoliating Toner *(either size, while stocks last).

—
Only at theordinary.com or in-store from July 7-31, 2026, while supplies last. One free The Ordinary Reusable Rounds with a purchase of Glycolic Acid (100ml or 240ml). One Gift per order and two per customer. For online purchases, customers must select the Gift option in order to receive the Gift. Not applicable outside the promotion period. Valid with other offers. DECIEM reserves the right to amend/cancel this offer at any time. Full Terms and Conditions apply, see https://theordinary.com/promotional-offer-terms.html.",offer_led,playful,Put these rounds on repeat ⚪📢 + complimentary set offer,"Conversational, emoji-forward, light register throughout"
T3-133,Multi-Peptide + HA Serum,Find your formulation. Free shipping on orders over $25 USD.,ingredient_led,minimal_matter_of_fact,Multi-Peptide + HA Serum names formulation as opening,Plain statement of product name and shipping offer
T3-134,,"Join our community and receive 10% off your next eligible order, plus future savings and product recommendations. T&Cs apply.",offer_led,minimal_matter_of_fact,Join our community and receive 10% off,"States offer and terms plainly, no persuasion styling"
T3-135,Receive 10% Off.,Receive 10% off your next eligible order when you create an account with us. T&Cs apply.,offer_led,minimal_matter_of_fact,Receive 10% Off,"Plain statement of discount and terms, no persuasion styling"
T3-138,"Brighter, More Even Skin.",Brighten dull-looking skin. Azelaic Acid Suspension 10% protects the skin against summer stressors.,benefit_promise,minimal_matter_of_fact,"Brighter, More Even Skin — desirable end state without naming problem",States what product does; no emotional language or styling
T3-139,Target Fine Lines.,Support healthy-looking skin as you age with these targeted formulations.,benefit_promise,minimal_matter_of_fact,Target Fine Lines — states desirable outcome without naming problem,"Plain, direct language; states what product does without embellishment"
t2_jaykin_0383,Exfoliating Scrub,Revitalize your skin with Exfoliating Scrub! ✨🌟 Experience a glowing and fresh complexion. Perfect for gentle exfoliation and a radiant glow. Limited stock - reveal your skin's natural radiance! 🌟🌟💆‍♀️,benefit_promise,aspirational,Revitalize your skin with Exfoliating Scrub,"Glowing, radiant, natural radiance, transformation language throughout"
t2_jaykin_0396,CC Cream,Achieve a natural look with CC Cream! 🌸🌟 Experience an even complexion with SPF protection. Perfect for everyday beauty and sun defense. Limited stock - CC your way to a flawless complexion! 🌟🌞💁‍♀️,benefit_promise,playful,Achieve a natural look with CC Cream!,"Emoji-forward, conversational wordplay ('CC your way'), light register"
t2_smangrul_0146,Anti-Aging Serum,Turn back the clock with Anti-Aging Serum! ⏳🌟 Experience reduced fine lines and wrinkles. Perfect for youthful skin and a confident look. Limited stock - rejuvenate your skin and embrace timeless beauty! 🌟👵🌟,benefit_promise,aspirational,Turn back the clock with Anti-Aging Serum,"Youthful skin, confident look, timeless beauty, transformation language"
t2_smangrul_0160,Eye Cream,Brighten your eyes with Eye Cream! 👀🌟 Experience reduced dark circles and puffiness. Perfect for a refreshed look and youthful eyes. Limited stock - revitalize your eyes and brighten your world! 🌟🌼👁️,benefit_promise,playful,Brighten your eyes with Eye Cream! Opens with desirable outcome.,"Emoji-forward, conversational, light register throughout."
t2_smangrul_0271,Sunscreen,"Protect your skin with Sunscreen! ☀️🌟 Experience sun protection and healthy, glowing skin. Perfect for sunny days and outdoor adventures. Limited stock - shield your skin from the sun's rays! 🌟🌞🏖️",benefit_promise,playful,"Protect your skin with Sunscreen! Experience sun protection and healthy, glowing skin.","Emoji-forward, conversational, light register throughout."
t2_smangrul_0536,Body Scrub,Reveal radiant skin with Body Scrub! 🌟🌟 Experience smooth and glowing skin. Perfect for pampering and an all-over glow. Limited stock - exfoliate for silky skin from head to toe! 🌟✨🧖‍♀️,benefit_promise,playful,Reveal radiant skin with Body Scrub,"Emoji-forward, conversational, aspirational language throughout"
t2_smangrul_0595,Face Scrub,Exfoliate for a fresh look with Face Scrub! 🌟🌟 Experience a clear and radiant complexion. Perfect for gentle exfoliation and smooth skin. Limited stock - scrub your way to a fresh face! 🌟✨🧖‍♀️,benefit_promise,playful,Exfoliate for a fresh look with Face Scrub,"Emoji-forward, conversational, light register throughout"
t2_smangrul_0778,Moisturizing Cream,Hydrate your skin with Moisturizing Cream! 💧🌟 Experience soft and supple skin all day. Perfect for dry skin and a youthful glow. Limited stock - moisturize for a hydrated and beautiful you! 🌟🌷💧,benefit_promise,aspirational,Hydrate your skin with Moisturizing Cream! Experience soft and supple skin,"Glow, youthful, beautiful, soft supple skin — idealized self language"
t2_smangrul_0951,Facial Cleanser,Reveal your natural beauty with Facial Cleanser! 🌸🌟 Experience a fresh and radiant complexion. Perfect for daily cleansing and healthy skin. Limited stock - cleanse your way to glowing beauty! 🌟✨💆‍♀️,benefit_promise,aspirational,Reveal your natural beauty with Facial Cleanser,"Radiant complexion, glowing beauty, emojis, idealized self"
